A,:85
B,:459
C,:321
D,:2005
E,:633
F,:291
J,:66
L,:128
K,:128
M,:128
N,:11
I,:4
A,B,E,F,K,:4
A,B,E,F,M,:4
A,B,E,F,N,:3
A,B,E,J,L,:4
A,B,E,J,K,:4
A,B,E,J,M,:4
A,B,E,J,N,:3
A,B,E,L,M,:4
A,B,E,L,N,:3
A,B,E,K,L,:4
A,B,E,K,M,:4
A,B,E,K,N,:3
A,B,E,M,N,:3
A,B,F,J,L,:4
A,B,F,J,K,:4
A,B,F,J,M,:4
A,B,F,J,N,:3
A,B,F,L,M,:4
A,B,F,L,N,:3
A,B,F,K,L,:4
A,B,F,K,M,:4
A,B,F,K,N,:3
A,B,F,M,N,:3
A,B,J,L,M,:4
A,B,J,L,N,:3
A,B,J,K,L,:4
A,B,J,K,M,:4
A,B,J,K,N,:3
A,B,J,M,N,:3
A,B,L,M,N,:3
A,B,K,L,M,:4
A,B,K,L,N,:3
A,B,K,M,N,:3
A,C,D,E,F,:4
A,C,D,E,J,:4
A,C,D,E,L,:4
A,C,D,E,K,:4
A,C,D,E,M,:4
A,C,D,E,N,:3
A,C,D,F,J,:4
A,C,D,F,L,:4
A,C,D,F,K,:4
A,C,D,F,M,:4
A,C,D,F,N,:3
A,C,D,J,L,:4
A,C,D,J,K,:4
A,C,D,J,M,:4
A,C,D,J,N,:3
A,C,D,L,M,:4
A,C,D,L,N,:3
A,C,D,K,L,:4
A,C,D,K,M,:4
A,C,D,K,N,:3
A,C,D,M,N,:3
A,C,E,F,J,:4
A,C,E,F,L,:4
A,C,E,F,K,:4
A,C,E,F,M,:4
A,C,E,F,N,:3
A,C,E,J,L,:4
A,C,E,J,K,:4
A,C,E,J,M,:4
A,C,E,J,N,:3
A,C,E,L,M,:4
A,C,E,L,N,:3
A,C,E,K,L,:4
A,C,E,K,M,:4
A,C,E,K,N,:3
A,C,E,M,N,:3
A,C,F,J,L,:4
A,C,F,J,K,:4
A,C,F,J,M,:4
A,C,F,J,N,:3
A,C,F,L,M,:4
A,C,F,L,N,:3
A,C,F,K,L,:4
A,C,F,K,M,:4
A,C,F,K,N,:3
A,C,F,M,N,:3
A,C,J,L,M,:4
A,C,J,L,N,:3
A,C,J,K,L,:4
A,C,J,K,M,:4
A,C,J,K,N,:3
A,C,J,M,N,:3
A,C,L,M,N,:3
A,C,K,L,M,:4
A,C,K,L,N,:3
A,C,K,M,N,:3
A,D,E,F,J,:4
A,D,E,F,L,:4
A,D,E,F,K,:4
A,D,E,F,M,:4
A,D,E,F,N,:3
A,D,E,J,L,:4
A,D,E,J,K,:4
A,D,E,J,M,:4
A,D,E,J,N,:3
A,D,E,L,M,:4
A,D,E,L,N,:3
A,D,E,K,L,:4
A,D,E,K,M,:4
A,D,E,K,N,:3
A,D,E,M,N,:3
A,D,F,J,L,:4
A,D,F,J,K,:4
A,D,F,J,M,:4
A,D,F,J,N,:3
A,D,F,L,M,:4
A,D,F,L,N,:3
A,D,F,K,L,:4
A,D,F,K,M,:4
A,D,F,K,N,:3
A,D,F,M,N,:3
A,D,J,L,M,:4
A,D,J,L,N,:3
A,D,J,K,L,:4
A,D,J,K,M,:4
A,D,J,K,N,:3
A,D,J,M,N,:3
A,D,L,M,N,:3
A,D,K,L,M,:4
A,D,K,L,N,:3
A,D,K,M,N,:3
A,E,F,J,L,:4
A,E,F,J,K,:4
A,E,F,J,M,:4
A,E,F,J,N,:3
A,E,F,L,M,:4
A,E,F,L,N,:3
A,E,F,K,L,:4
A,E,F,K,M,:4
A,E,F,K,N,:3
A,E,F,M,N,:3
A,E,J,L,M,:4
A,E,J,L,N,:3
A,E,J,K,L,:4
A,E,J,K,M,:4
A,E,J,K,N,:3
A,E,J,M,N,:3
A,E,L,M,N,:3
A,E,K,L,M,:4
A,E,K,L,N,:3
A,E,K,M,N,:3
A,F,J,L,M,:4
A,F,J,L,N,:3
A,F,J,K,L,:4
A,F,J,K,M,:4
A,F,J,K,N,:3
A,F,J,M,N,:3
A,F,L,M,N,:3
A,F,K,L,M,:4
A,F,K,L,N,:3
A,F,K,M,N,:3
A,J,L,M,N,:3
A,J,K,L,M,:4
A,J,K,L,N,:3
A,J,K,M,N,:3
A,K,L,M,N,:3
B,C,D,E,F,:4
B,C,D,E,J,:4
B,C,D,E,L,:4
